,Product_Name,Product_Title,Product_Description,Product_Ingredients,energy_kcal_Quantity,energy_kcal_100_g_per_product,energy_kcal_uom,energy_kcal_adultDV,energy_kcal_childDV,energy_kJ_Quantity,energy_kJ_100_g_per_product,energy_kJ_uom,energy_kJ_adultDV,energy_kJ_childDV,protein_Quantity,protein_100_g_per_product,protein_uom,protein_adultDV,protein_childDV,carbohydrate_Quantity,carbohydrate_100_g_per_product,carbohydrate_uom,carbohydrate_adultDV,carbohydrate_childDV,sugars_Quantity,sugars_100_g_per_product,sugars_uom,sugars_adultDV,sugars_childDV,fat_Quantity,fat_100_g_per_product,fat_uom,fat_adultDV,fat_childDV,saturated_fat_Quantity,saturated_fat_100_g_per_product,saturated_fat_uom,saturated_fat_adultDV,saturated_fat_childDV,fibre_Quantity,fibre_100_g_per_product,fibre_uom,fibre_adultDV,fibre_childDV,salt_Quantity,salt_100_g_per_product,salt_uom,salt_adultDV,salt_childDV
10,Shaker Side Salad,Shaker Side Salad - Seasonal Leaves,"McDonald's Shaker Salad. Seasonal salad leaves, cucumber and cherry tomatoes.","Lettuce 100% Lettuce., Tomato Slice 100% Tomato., Cucumber 100% Cucumber..",15,7.4,kcal,1,{},65,32,kJ,1,{},0.9,0.4,g,2,{},1.5,0.7,g,1,{},1.5,0.7,g,2,{},0.5,0.2,g,1,{},0.0,0,g,0,{},1.0,0.5,g,,{},0.05,0,g,1,{}
11,Mayo Chicken,Mayo Chicken - Crispy Coated Chicken,McDonald's Mayo Chicken. 100% crispy chicken breast with lettuce and cool mayo in a soft bun. How can you resist?,"Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Chicken Patty Chicken Breast Meat (44%), Water, Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Breadcrumb (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Yeast, Salt), Rusk (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Salt, Sunflower Oil), Vegetable Oils (Sunflower, Rapeseed), Allergen Ingredient:  WHEAT Semolina, Starch, Modified Starch (contains Allergen Ingredient:  WHEAT), Salt, Raising Agents (Diphosphates, Sodium Carbonates, Calcium Phosphates), Natural Flavourings, Potassium Chloride, Yeast Extract, White Pepper, Garlic Powder, Dextrose.  Prepared in the restaurants using non-hydrogenated vegetable oil.  N.B. May contain traces of celery, milk and mustard., Lettuce (Iceberg) 100% Iceberg Lettuce., Cool Mayo Water, Rapeseed Oil (23.5%), Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk (3%), Sugar, Salt, Allergen Ingredient:  MUSTARD Flour, Thickener (Xanthan Gum), Preservative (Potassium Sorbate), Lemon Juice Concentrate..",319,258.9,kcal,16,{},1337,1085.2,kJ,16,{},12,9.7,g,24,{},38,30.8,g,15,{},4.6,3.7,g,5,{},13,10.6,g,18,{},1.6,1.3,g,8,{},2.8,2.3,g,,{},1.1,0.9,g,19,{}
12,Bacon Mayo Chicken,{},{},"Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Chicken Patty Chicken Breast Meat (44%), Water, Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Breadcrumb (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Yeast, Salt), Rusk (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Salt, Sunflower Oil), Vegetable Oils (Sunflower, Rapeseed), Allergen Ingredient:  WHEAT Semolina, Starch, Modified Starch (contains Allergen Ingredient:  WHEAT), Salt, Raising Agents (Diphosphates, Sodium Carbonates, Calcium Phosphates), Natural Flavourings, Potassium Chloride, Yeast Extract, White Pepper, Garlic Powder, Dextrose.  Prepared in the restaurants using non-hydrogenated vegetable oil.  N.B. May contain traces of celery, milk and mustard., Streaky Bacon EITHER: Pork Belly, Salt, Smoke Flavouring, Sugar, Emulsifier (Sodium Triphosphate), Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite).  OR: Pork Belly, Salt, Smoke Water, Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite)., Lettuce (Iceberg) 100% Iceberg Lettuce., Cool Mayo Water, Rapeseed Oil (23.5%), Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk (3%), Sugar, Salt, Allergen Ingredient:  MUSTARD Flour, Thickener (Xanthan Gum), Preservative (Potassium Sorbate), Lemon Juice Concentrate..",370,274.3,kcal,19,{},1550,1149,kJ,19,{},17,12.6,g,34,{},38,28.2,g,15,{},4.7,3.5,g,5,{},16,11.9,g,23,{},2.9,2.1,g,14,{},2.8,2.1,g,,{},1.5,1.1,g,24,{}
13,Bacon Double Cheeseburger,Bacon Double Cheeseburger,"Two 100% beef patties, two rashers of Beechwood smoked bacon, two slices of cheese, onions, pickles, mustard and tomato ketchup, all in a soft bun.","Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Cheddar Cheese Slice (processed) Vegetarian Cheddar (51%) (Allergen Ingredient: MILK), Water, Vegetarian Cheese (9%) (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Butter (Allergen Ingredient: MILK), Emulsifying Salts (Trisodium Citrate, Citric Acid), Allergen Ingredient:  MILK Proteins, Natural Cheese Flavouring (Allergen Ingredient: MILK), Salt, Colours (Beta Carotene, Paprika Extract), Anti-Caking Agent (Sunflower Lecithin)., Beechwood Smoked Bacon EITHER: Pork Belly, Salt, Smoke Flavouring, Sugar, Emulsifier (Sodium Triphosphate), Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite).  OR: Pork Belly, Salt, Smoke Water, Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite)., Tomato Ketchup 66% Tomato Puree (equivalent to 184g tomatoes per 100g ketchup), Glucose-Fructose Syrup, Spirit Vinegar, Salt, Spice Extracts., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% Onion., Mustard EITHER: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Spice Extract.  OR: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Natural Cloves Flavour, Spice Extract..",495,271.7,kcal,25,{},2070,1136.4,kJ,25,{},30,16.5,g,61,{},32,17.6,g,12,{},8.1,4.4,g,9,{},27,14.8,g,38,{},13,7.1,g,65,{},2.4,1.3,g,,{},2.7,1.5,g,45,{}
14,Big Mac,Big Mac® - 100% Beef Burger,"The McDonald's Big Mac®. Two patties made from 100% beef, stacked on cheese, lettuce, onion and pickles, with our famous Big Mac® sauce.","Big Mac Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Allergen Ingredient:  SESAME Seeds, Rapeseed Oil, Salt, Yeast, Allergen Ingredient:  WHEAT Gluten, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Raising Agent (Monocalcium Phosphate), Preservative (Calcium Propionate), Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of milk, barley and rye., Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Lettuce (Iceberg) 100% Iceberg Lettuce., Big Mac Sauce EITHER: Water, Rapeseed Oil, Spirit Vinegar, Gherkin, Sugar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk, Spices (contain Allergen Ingredient:  MUSTARD), Salt, Glucose-Fructose Syrup, Thickener (Xanthan Gum), Natural Flavourings, Firming Agent (Calcium Chloride), Preservative (Potassium Sorbate).  OR: Water, Rapeseed Oil, Spirit Vinegar, Gherkins, Glucose-Fructose Syrup, Sugar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk, Spices (contains Allergen Ingredient:  MUSTARD), Salt, Thickener (Xanthan Gum), Natural Flavourings, Yeast Extract, Firming Agent (Calcium Chloride)., Cheddar Cheese Slice (processed) Vegetarian Cheddar (51%) (Allergen Ingredient: MILK), Water, Vegetarian Cheese (9%) (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Butter (Allergen Ingredient: MILK), Emulsifying Salts (Trisodium Citrate, Citric Acid), Allergen Ingredient:  MILK Proteins, Natural Cheese Flavouring (Allergen Ingredient: MILK), Salt, Colours (Beta Carotene, Paprika Extract), Anti-Caking Agent (Sunflower Lecithin)., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% Onion..",508,235.1,kcal,25,{},2125,983.3,kJ,25,{},26,12,g,53,{},43,19.9,g,16,{},9.0,4.2,g,10,{},25,11.6,g,36,{},9.5,4.4,g,47,{},3.6,1.7,g,,{},2.3,1.1,g,38,{}
15,Quarter Pounder with Cheese,Quarter Pounder with Cheese - 100% Beef Burger,"McDonald's Quarter Pounder with Cheese. A 100% beef patty, with two slices of cheese, onions, pickles, mustard and tomato ketchup in a bun.","Quarter Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Quarter Pounder Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Allergen Ingredient:  SESAME Seeds, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of milk, barley and rye., Cheddar Cheese Slice (processed) Vegetarian Cheddar (51%) (Allergen Ingredient: MILK), Water, Vegetarian Cheese (9%) (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Butter (Allergen Ingredient: MILK), Emulsifying Salts (Trisodium Citrate, Citric Acid), Allergen Ingredient:  MILK Proteins, Natural Cheese Flavouring (Allergen Ingredient: MILK), Salt, Colours (Beta Carotene, Paprika Extract), Anti-Caking Agent (Sunflower Lecithin)., Tomato Ketchup 66% Tomato Puree (equivalent to 184g tomatoes per 100g ketchup), Glucose-Fructose Syrup, Spirit Vinegar, Salt, Spice Extracts., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% White Onions., Mustard EITHER: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Spice Extract.  OR: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Natural Cloves Flavour, Spice Extract..",518,258.4,kcal,26,{},2168,1081.5,kJ,26,{},31,15.5,g,62,{},37,18.5,g,14,{},10,5,g,11,{},27,13.5,g,38,{},13,6.5,g,65,{},2.5,1.2,g,,{},2.5,1.2,g,42,{}
16,McChicken Sandwich,McChicken Sandwich® - 100% Chicken Breast Meat,"McDonald's McChicken Sandwich®. Crispy coated 100% chicken breast with lettuce and our sandwich sauce in a soft, sesame-topped bun.","Coated Chicken Patty Chicken Breast Meat (53%), Water, Vegetable Oils (Sunflower, Rapeseed), Starch, Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Allergen Ingredient:  WHEAT Semolina, Maize Flour, Allergen Ingredient:  WHEAT Gluten, Natural Flavourings, Salt, Allergen Ingredient:  MUSTARD Flour, Potassium Chloride, Raising Agents (Diphosphates, Sodium Carbonates), Sugar.  Prepared in the restaurants using non-hydrogenated vegetable oil.  Potential Allergen Ingredient:  N.B. May contain traces of milk and celery., Sesame Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Allergen Ingredient:  SESAME Seeds, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of milk, barley and rye., Lettuce (Iceberg) 100% Iceberg Lettuce., Sandwich Sauce Water, Rapeseed Oil, Sugar, Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk, Salt, Thickener (Xanthan Gum), Spices (contain Allergen Ingredient:  MUSTARD), Lemon Juice Concentrate, Preservative (Potassium Sorbate), Natural Onion Flavouring, Dried Garlic, Colours (Curcumin & Paprika Extract)..",388,226.2,kcal,19,{},1627,948.7,kJ,19,{},17,9.9,g,33,{},43,25.1,g,16,{},7.1,4.1,g,8,{},16,9.3,g,23,{},1.8,1,g,9,{},3.4,2,g,,{},1.4,0.8,g,23,{}
17,Vegetable Deluxe,Vegetable Deluxe - Burger,"Vegetable Deluxe, red pesto veggie goujons with sandwich sauce and shredded lettuce in a sesame topped bun.","Red Pepper & Pesto Goujon Yellow Split Peas, Tomato, Breadcrumb (8%) (Rice Flour, Gram Flour, Maize Flour, Amaranth Flour, Maize Starch, Teff Flour, Salt, Dried Glucose Syrup,  Dextrose, Emulsifier (Mono- and Diglycerides of Fatty Acids)), Cooked Arborio Rice, Rice Flour, Sundried Tomato Pesto (7%) (Water, Sundried Tomato Puree (Water, Tomato, Salt), Tomato Paste, Red Wine Vinegar, Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil), Basil, Red Onion, White Sugar, Garlic Puree,  Cornflour, Black Pepper), Red Pepper (7%), Water, Sunflower Oil, Maize Starch, Onion, Rapeseed Oil, Maize Flour, Basil, Garlic Puree,  Salt, Black Pepper, Thickener (Xanthan Gum).  Prepared in the restaurants using a non-hydrogenated vegetable oil., Sesame Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Allergen Ingredient:  SESAME Seeds, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of milk, barley and rye., Lettuce (Iceberg) 100% Iceberg Lettuce., Sandwich Sauce Water, Rapeseed Oil, Sugar, Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk, Salt, Thickener (Xanthan Gum), Spices (contain Allergen Ingredient:  MUSTARD), Lemon Juice Concentrate, Preservative (Potassium Sorbate), Natural Onion Flavouring, Dried Garlic, Colours (Curcumin & Paprika Extract)..",380,228.6,kcal,19,{},1593,958.5,kJ,19,{},9.0,5.4,g,18,{},52,31.3,g,20,{},7.8,4.7,g,9,{},14,8.4,g,19,{},1.4,0.8,g,7,{},5.4,3.2,g,,{},1.5,0.9,g,24,{}
18,Hamburger,McDonald's Hamburger - 100% Beef Burger,"McDonald's Hamburger. 100% beef patty, with onions, pickles, mustard and tomato ketchup, in a soft bun.","Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Tomato Ketchup 66% Tomato Puree (equivalent to 184g tomatoes per 100g ketchup), Glucose-Fructose Syrup, Spirit Vinegar, Salt, Spice Extracts., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% Onion., Mustard EITHER: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Spice Extract.  OR: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Natural Cloves Flavour, Spice Extract..",250,239.1,kcal,13,{},1053,1007.2,kJ,13,{},13,12.4,g,26,{},30,28.7,g,11,{},6.6,6.3,g,7,{},8.3,7.9,g,12,{},3.3,3.2,g,16,{},2.4,2.3,g,,{},1.2,1.1,g,19,{}
19,Cheeseburger,Cheeseburger - 100% Beef Burger,"McDonald's Cheeseburger. A classic 100% beef patty and cheese, with onions, pickles, mustard and tomato ketchup in a soft bun.","Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Cheddar Cheese Slice (processed) Vegetarian Cheddar (51%) (Allergen Ingredient: MILK), Water, Vegetarian Cheese (9%) (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Butter (Allergen Ingredient: MILK), Emulsifying Salts (Trisodium Citrate, Citric Acid), Allergen Ingredient:  MILK Proteins, Natural Cheese Flavouring (Allergen Ingredient: MILK), Salt, Colours (Beta Carotene, Paprika Extract), Anti-Caking Agent (Sunflower Lecithin)., Tomato Ketchup 66% Tomato Puree (equivalent to 184g tomatoes per 100g ketchup), Glucose-Fructose Syrup, Spirit Vinegar, Salt, Spice Extracts., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% Onion., Mustard EITHER: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Spice Extract.  OR: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Natural Cloves Flavour, Spice Extract..",301,253.5,kcal,15,{},1262,1062.8,kJ,15,{},16,13.5,g,31,{},31,26.1,g,12,{},7.3,6.1,g,8,{},12,10.1,g,18,{},6.0,5.1,g,30,{},2.4,2,g,,{},1.6,1.3,g,27,{}
20,Double Cheeseburger,Double Cheeseburger - Two 100% Beef Patties,"McDonald's Double Cheeseburger. Two 100% beef patties with cheese, onions, pickles, mustard and tomato ketchup in a bun.","Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Cheddar Cheese Slice (processed) Vegetarian Cheddar (51%) (Allergen Ingredient: MILK), Water, Vegetarian Cheese (9%) (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Butter (Allergen Ingredient: MILK), Emulsifying Salts (Trisodium Citrate, Citric Acid), Allergen Ingredient:  MILK Proteins, Natural Cheese Flavouring (Allergen Ingredient: MILK), Salt, Colours (Beta Carotene, Paprika Extract), Anti-Caking Agent (Sunflower Lecithin)., Tomato Ketchup 66% Tomato Puree (equivalent to 184g tomatoes per 100g ketchup), Glucose-Fructose Syrup, Spirit Vinegar, Salt, Spice Extracts., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% Onion., Mustard EITHER: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Spice Extract.  OR: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Natural Cloves Flavour, Spice Extract..",445,262.1,kcal,22,{},1859,1095.1,kJ,22,{},26,15.3,g,52,{},32,18.9,g,12,{},8.1,4.8,g,9,{},23,13.5,g,33,{},12,7.1,g,58,{},2.4,1.4,g,,{},2.4,1.4,g,40,{}
21,Chicken McNuggets (6 pieces),6 Piece Chicken McNuggets®,"6 Piece McDonald's Chicken Nuggets® and Chicken Selects® are 100% chicken breast meat in crispy golden coating, just waiting to be dipped and shared.","Chicken McNuggets EITHER: Chicken Breast Meat (45%), Water, Vegetable Oils (Sunflower, Rapeseed), Maize Flour, Allergen Ingredient:  Fortified WHEAT Flour (Allergen Ingredient: WHEAT Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Starches, Allergen Ingredient:  WHEAT Semolina, Breadcrumb (contains Allergen Ingredient:  WHEAT), Natural Flavourings (contains Allergen Ingredient:  CELERY), Potassium Chloride, Dried Glucose Syrup, Allergen Ingredient:  WHEAT Gluten, Salt, Raising Agents (Sodium Carbonates), Pepper, Allergen Ingredient: CELERY, Dextrose.  Potential Allergen Ingredient: N.B. May contain traces of milk and mustard.  OR: Chicken Breast Meat (45%), Water, Vegetable Oils (Sunflower, Rapeseed), Maize Flour, Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Starch, Allergen Ingredient:  WHEAT Semolina, Breadcrumb (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Salt), Natural Flavourings (contain Allergen Ingredient:  CELERY), Allergen Ingredient:  WHEAT Gluten, Potassium Chloride, Dried Glucose Syrup, Salt, Raising Agents (Sodium Carbonates), Spices (contain Allergen Ingredient: CELERY), Dextrose.    Potential Allergen Ingredient: N.B. All the above may contain traces of milk and mustard.  Prepared in the restaurants using non-hydrogenated vegetable oil..",259,125.6,kcal,13,{},1083,525.2,kJ,13,{},16,7.8,g,32,{},18,8.7,g,7,{},0.6,0.3,g,1,{},13,6.3,g,19,{},1.7,0.8,g,9,{},0.7,0.3,g,,{},0.51,0.2,g,9,{}
22,Chicken Selects (3 pieces),Chicken Selects® - Chicken Breast Meat,"McDonald's Chicken Selects®. Strips of tender chicken breast in a seasoned, crispy coating.","Chicken Select EITHER: Chicken Breast Meat (57%), Water, Allergen Ingredient:  WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Starch, Yeast Extract, Modified Starch, Salt, Spices (contain Allergen Ingredient:  CELERY), Acidity Regulators (Sodium Carbonate, Trisodium Citrate), Allergen Ingredient:  WHEAT Gluten, Raising Agents (Disodium Diphosphate, Sodium Bicarbonates), Onion Powder, Garlic Powder, Spice Extract (contains Allergen Ingredient:  CELERY), Stabiliser (Carrageenan), Dextrose, Flavouring.  Potential Allergen Ingredient:  N.B. May contain traces of milk and mustard.  OR: Chicken Breast Meat (57%), Water, Allergen Ingredient:  WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Modified Starch, Starches, Yeast Extract, Spices (contain Allergen Ingredient:  CELERY), Salt, Acidity Regulators (Sodium Carbonates, Sodium Citrate), Allergen Ingredient:  WHEAT Gluten, Raising Agents (Sodium Acid Pyrophosphate, Sodium Carbonate), Spice Extract (contains Allergen Ingredient:  CELERY), Dextrose, Stabiliser (Carrageenan), Flavouring Preparation, Colour (Paprika Extract), Garlic Powder, Onion Powder, Emulsifier (Polysorbate 80), Rosemary Extract.    Potential Allergen Ingredient:  N.B. All the above may contain traces of milk and mustard.  Prepared in the restaurants using non-hydrogenated vegetable oil..",359,154.2,kcal,18,{},1502,645.3,kJ,18,{},25,10.7,g,50,{},20,8.6,g,8,{},0.3,0.1,g,0,{},20,8.6,g,28,{},2.2,0.9,g,11,{},0.2,0.1,g,,{},1.8,0.8,g,30,{}
